,symboling,normalized-losses,make,fuel-type,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,city-L/100km,highway-L/100km,hp-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo,convertible,hardtop,hatchback,sedan,wagon,price
14,0,122,bmw,gas,four,sedan,rwd,front,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,17.75,12.909090909090908,medium,0,1,1,0,0,0,0,1,0,30760
15,0,122,bmw,gas,two,sedan,rwd,front,103.5,0.9312830370014417,0.9430555555555556,0.8979933110367894,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,17.75,12.909090909090908,medium,0,1,1,0,0,0,0,1,0,41315
16,0,122,bmw,gas,four,sedan,rwd,front,110.0,0.9466602594906295,0.9847222222222223,0.9414715719063546,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15,20,18.933333333333334,14.2,medium,0,1,1,0,0,0,0,1,0,36880
17,2,121,chevrolet,gas,two,hatchback,fwd,front,88.4,0.6780394041326285,0.8374999999999999,0.8896321070234114,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,6.042553191489362,5.3584905660377355,,0,1,1,0,0,0,1,0,0,5151
18,1,98,chevrolet,gas,two,hatchback,fwd,front,94.5,0.7491590581451226,0.8833333333333333,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,7.473684210526316,6.604651162790698,low,0,1,1,0,0,0,1,0,0,6295
19,0,81,chevrolet,gas,four,sedan,fwd,front,94.5,0.7630946660259491,0.8833333333333333,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,7.473684210526316,6.604651162790698,low,0,1,1,0,0,0,0,1,0,6575
20,1,118,dodge,gas,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,7.675675675675675,6.926829268292683,low,0,1,1,0,0,0,1,0,0,5572
21,1,118,dodge,gas,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,9.161290322580646,7.473684210526316,low,0,1,1,0,0,0,1,0,0,6377
22,1,118,dodge,gas,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,11.833333333333334,9.466666666666667,low,0,1,0,1,0,0,1,0,0,7957
23,1,148,dodge,gas,four,hatchback,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,9.161290322580646,7.473684210526316,low,0,1,1,0,0,0,1,0,0,6229
24,1,148,dodge,gas,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,9.161290322580646,7.473684210526316,low,0,1,1,0,0,0,0,1,0,6692
25,1,148,dodge,gas,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,9.161290322580646,7.473684210526316,low,0,1,1,0,0,0,0,1,0,7609
26,1,148,dodge,gas,four,sedan,fwd,front,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,11.833333333333334,9.466666666666667,low,0,1,0,1,0,0,0,1,0,8558
27,-1,110,dodge,gas,four,wagon,fwd,front,103.3,0.8390197020663143,0.8972222222222221,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,11.833333333333334,9.466666666666667,low,0,1,1,0,0,0,0,0,1,8921
28,3,145,dodge,gas,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000,19,24,14.947368421052632,11.833333333333334,medium,0,1,0,1,0,0,1,0,0,12964
29,2,137,honda,gas,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8875,0.8494983277591973,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,5.795918367346939,5.2592592592592595,low,0,1,1,0,0,0,1,0,0,6479
30,2,137,honda,gas,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8875,0.8494983277591973,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,9.161290322580646,7.473684210526316,low,0,1,1,0,0,0,1,0,0,6855
31,1,101,honda,gas,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,7.473684210526316,6.761904761904762,low,0,1,1,0,0,0,1,0,0,5399
32,1,101,honda,gas,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,9.466666666666667,8.352941176470589,low,0,1,1,0,0,0,1,0,0,6529
33,1,101,honda,gas,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,9.466666666666667,8.352941176470589,low,0,1,1,0,0,0,1,0,0,7129
34,0,110,honda,gas,four,sedan,fwd,front,96.5,0.7851994233541567,0.8888888888888888,0.911371237458194,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,9.466666666666667,8.352941176470589,low,0,1,1,0,0,0,0,1,0,7295
35,0,78,honda,gas,four,wagon,fwd,front,96.5,0.754925516578568,0.8875,0.9749163879598662,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,9.466666666666667,8.352941176470589,low,0,1,1,0,0,0,0,0,1,7295
36,0,106,honda,gas,two,hatchback,fwd,front,96.5,0.8049014896684287,0.9055555555555556,0.8913043478260869,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10.518518518518519,8.606060606060606,low,0,1,1,0,0,0,1,0,0,7895
37,0,106,honda,gas,two,hatchback,fwd,front,96.5,0.8049014896684287,0.9055555555555556,0.8913043478260869,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10.518518518518519,8.606060606060606,low,0,1,1,0,0,0,1,0,0,9095
38,0,85,honda,gas,four,sedan,fwd,front,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474917,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10.518518518518519,8.606060606060606,low,0,1,1,0,0,0,0,1,0,8845
39,0,85,honda,gas,four,sedan,fwd,front,96.5,0.8428640076886112,0.8680555555555556,0.9046822742474917,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10.518518518518519,8.606060606060606,low,0,1,1,0,0,0,0,1,0,10295
40,0,85,honda,gas,four,sedan,fwd,front,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474917,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,24,28,11.833333333333334,10.142857142857142,low,0,1,1,0,0,0,0,1,0,12945
41,1,107,honda,gas,two,sedan,fwd,front,96.5,0.8125901009130225,0.9166666666666666,0.8528428093645485,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,11.36,9.161290322580646,low,0,1,1,0,0,0,0,1,0,10345
42,0,122,isuzu,gas,four,sedan,rwd,front,94.3,0.8202787121576165,0.8583333333333333,0.8946488294314382,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,11.833333333333334,9.793103448275861,low,0,1,1,0,0,0,0,1,0,6785
43,2,122,isuzu,gas,two,hatchback,rwd,front,96.0,0.8294089380105718,0.9055555555555556,0.8595317725752508,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11.833333333333334,9.793103448275861,low,0,1,1,0,0,0,1,0,0,11048
44,0,145,jaguar,gas,four,sedan,rwd,front,113.0,0.9591542527630946,0.9666666666666666,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,18.933333333333334,14.947368421052632,medium,0,1,1,0,0,0,0,1,0,32250
45,0,122,jaguar,gas,four,sedan,rwd,front,113.0,0.9591542527630946,0.9666666666666666,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,18.933333333333334,14.947368421052632,medium,0,1,1,0,0,0,0,1,0,35550
46,0,122,jaguar,gas,two,sedan,rwd,front,102.0,0.921191734742912,0.9805555555555555,0.7993311036789298,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,21.846153846153847,16.705882352941178,high,0,1,1,0,0,0,0,1,0,36000
47,1,104,mazda,gas,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,30,31,9.466666666666667,9.161290322580646,low,0,1,1,0,0,0,1,0,0,5195
48,1,104,mazda,gas,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,9.161290322580646,7.473684210526316,low,0,1,1,0,0,0,1,0,0,6095
49,1,104,mazda,gas,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474917,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,9.161290322580646,7.473684210526316,low,0,1,1,0,0,0,1,0,0,6795
50,1,113,mazda,gas,four,sedan,fwd,front,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474917,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,9.161290322580646,7.473684210526316,low,0,1,1,0,0,0,0,1,0,6695
51,1,113,mazda,gas,four,sedan,fwd,front,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474917,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000,31,38,9.161290322580646,7.473684210526316,low,0,1,1,0,0,0,0,1,0,7395
52,3,150,mazda,gas,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000,17,23,16.705882352941178,12.347826086956522,low,0,1,1,0,0,0,1,0,0,10945
53,3,150,mazda,gas,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000,17,23,16.705882352941178,12.347826086956522,low,0,1,1,0,0,0,1,0,0,11845
54,3,150,mazda,gas,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2385,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000,17,23,16.705882352941178,12.347826086956522,low,0,1,1,0,0,0,1,0,0,13645
55,3,150,mazda,gas,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9125000000000001,0.8294314381270904,2500,rotor,two,80,mpfi,3.3297512437810957,3.2554228855721337,9.4,135,6000,16,23,17.75,12.347826086956522,medium,0,1,1,0,0,0,1,0,0,15645
56,1,129,mazda,gas,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10.923076923076923,8.875,low,0,1,1,0,0,0,1,0,0,8845
57,0,115,mazda,gas,four,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10.923076923076923,8.875,low,0,1,1,0,0,0,0,1,0,8495
58,1,129,mazda,gas,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10.923076923076923,8.875,low,0,1,1,0,0,0,1,0,0,10595
59,0,115,mazda,gas,four,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10.923076923076923,8.875,low,0,1,1,0,0,0,0,1,0,10245
60,0,122,mazda,diesel,four,sedan,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,7.888888888888889,6.761904761904762,low,1,0,1,0,0,0,0,1,0,10795
61,0,115,mazda,gas,four,hatchback,fwd,front,98.8,0.8543969245555022,0.9236111111111112,0.9280936454849499,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10.923076923076923,8.875,low,0,1,1,0,0,0,1,0,0,11245
62,0,118,mazda,gas,four,sedan,rwd,front,104.9,0.8409418548774628,0.9180555555555555,0.9096989966555185,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000,19,27,14.947368421052632,10.518518518518519,medium,0,1,1,0,0,0,0,1,0,18280
63,0,122,mazda,diesel,four,sedan,rwd,front,104.9,0.8409418548774628,0.9180555555555555,0.9096989966555185,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200,31,39,9.161290322580646,7.282051282051282,low,1,0,1,0,0,0,0,1,0,18344
64,-1,93,mercedes-benz,diesel,four,sedan,rwd,front,110.0,0.9173474291206152,0.9763888888888889,0.9448160535117057,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,12.909090909090908,11.36,medium,1,0,0,1,0,0,0,1,0,25552
65,-1,93,mercedes-benz,diesel,four,wagon,rwd,front,110.0,0.9173474291206152,0.9763888888888889,0.9816053511705687,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,12.909090909090908,11.36,medium,1,0,0,1,0,0,0,0,1,28248
66,0,93,mercedes-benz,diesel,two,hardtop,rwd,front,106.7,0.9010091302258529,0.9763888888888889,0.9180602006688964,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,12.909090909090908,11.36,medium,1,0,0,1,0,1,0,0,0,28176
67,-1,93,mercedes-benz,diesel,four,sedan,rwd,front,115.6,0.9735703988467083,0.9958333333333333,0.9414715719063546,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,12.909090909090908,11.36,medium,1,0,0,1,0,0,0,1,0,31600
68,-1,122,mercedes-benz,gas,four,sedan,rwd,front,115.6,0.9735703988467083,0.9958333333333333,0.9448160535117057,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,17.75,15.777777777777779,medium,0,1,1,0,0,0,0,1,0,34184
69,3,142,mercedes-benz,gas,two,convertible,rwd,front,96.6,0.8664103796251803,0.9791666666666666,0.8494983277591973,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,17.75,15.777777777777779,medium,0,1,1,0,1,0,0,0,0,35056
70,0,122,mercedes-benz,gas,four,sedan,rwd,front,120.9,1.0,0.9958333333333333,0.948160535117057,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500,14,16,20.285714285714285,17.75,medium,0,1,1,0,0,0,0,1,0,40960
71,1,122,mercedes-benz,gas,two,hardtop,rwd,front,112.0,0.9572320999519461,1.0,0.9264214046822743,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500,14,16,20.285714285714285,17.75,medium,0,1,1,0,0,1,0,0,0,45400
72,1,122,mercury,gas,two,hatchback,rwd,front,102.7,0.857280153772225,0.9444444444444444,0.9163879598662207,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000,19,24,14.947368421052632,11.833333333333334,medium,0,1,0,1,0,0,1,0,0,16503
73,2,161,mitsubishi,gas,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,7.675675675675675,6.926829268292683,low,0,1,1,0,0,0,1,0,0,5389
74,2,161,mitsubishi,gas,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,9.161290322580646,7.473684210526316,low,0,1,1,0,0,0,1,0,0,6189
75,2,161,mitsubishi,gas,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,9.161290322580646,7.473684210526316,low,0,1,1,0,0,0,1,0,0,6669
76,1,161,mitsubishi,gas,two,hatchback,fwd,front,93.0,0.7558865929841423,0.8861111111111111,0.8494983277591973,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,11.833333333333334,9.466666666666667,low,0,1,0,1,0,0,1,0,0,7689
77,3,153,mitsubishi,gas,two,hatchback,fwd,front,96.3,0.8313310908217203,0.9083333333333334,0.8260869565217391,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,12.347826086956522,9.466666666666667,low,0,1,0,1,0,0,1,0,0,9959
78,3,153,mitsubishi,gas,two,hatchback,fwd,front,96.3,0.8313310908217203,0.9083333333333334,0.8260869565217391,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,11.36,8.875,low,0,1,1,0,0,0,1,0,0,8499
79,3,122,mitsubishi,gas,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000,19,24,14.947368421052632,11.833333333333334,medium,0,1,0,1,0,0,1,0,0,12629
80,3,122,mitsubishi,gas,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,24,14.947368421052632,11.833333333333334,medium,0,1,0,1,0,0,1,0,0,14869
81,3,122,mitsubishi,gas,two,hatchback,fwd,front,95.9,0.8322921672272945,0.9208333333333333,0.8394648829431439,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,24,14.947368421052632,11.833333333333334,medium,0,1,0,1,0,0,1,0,0,14489
82,1,125,mitsubishi,gas,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,11.36,8.875,low,0,1,1,0,0,0,0,1,0,6989
83,1,125,mitsubishi,gas,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,11.36,8.875,low,0,1,1,0,0,0,0,1,0,8189
84,1,125,mitsubishi,gas,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,12.347826086956522,9.466666666666667,low,0,1,0,1,0,0,0,1,0,9279
85,-1,137,mitsubishi,gas,four,sedan,fwd,front,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,12.347826086956522,9.466666666666667,low,0,1,1,0,0,0,0,1,0,9279
86,1,128,nissan,gas,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,9.161290322580646,7.675675675675675,low,0,1,1,0,0,0,0,1,0,5499
87,1,128,nissan,diesel,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,6.311111111111111,5.68,low,1,0,1,0,0,0,0,1,0,7099
88,1,128,nissan,gas,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,9.161290322580646,7.675675675675675,low,0,1,1,0,0,0,0,1,0,6649
89,1,122,nissan,gas,four,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,9.161290322580646,7.675675675675675,low,0,1,1,0,0,0,0,1,0,6849
90,1,103,nissan,gas,four,wagon,fwd,front,94.5,0.8178760211436809,0.8861111111111111,0.8946488294314382,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,9.161290322580646,7.675675675675675,low,0,1,1,0,0,0,0,0,1,7349
91,1,128,nissan,gas,two,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,9.161290322580646,7.675675675675675,low,0,1,1,0,0,0,0,1,0,7299
92,1,128,nissan,gas,two,hatchback,fwd,front,94.5,0.7957712638154734,0.8861111111111111,0.8913043478260869,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,9.161290322580646,7.675675675675675,low,0,1,1,0,0,0,1,0,0,7799
93,1,122,nissan,gas,four,sedan,fwd,front,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,9.161290322580646,7.675675675675675,low,0,1,1,0,0,0,0,1,0,7499
94,1,103,nissan,gas,four,wagon,fwd,front,94.5,0.8178760211436809,0.8861111111111111,0.8946488294314382,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,9.161290322580646,7.675675675675675,low,0,1,1,0,0,0,0,0,1,7999
95,2,168,nissan,gas,two,hardtop,fwd,front,95.1,0.7803940413262855,0.8861111111111111,0.8913043478260869,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,9.161290322580646,7.675675675675675,low,0,1,1,0,0,1,0,0,0,8249
96,0,106,nissan,gas,four,hatchback,fwd,front,97.2,0.8332532436328689,0.9055555555555556,0.9147157190635452,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,10.518518518518519,8.352941176470589,low,0,1,1,0,0,0,1,0,0,8949
97,0,106,nissan,gas,four,sedan,fwd,front,97.2,0.8332532436328689,0.9055555555555556,0.9147157190635452,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,10.518518518518519,8.352941176470589,low,0,1,1,0,0,0,0,1,0,9549
98,0,128,nissan,gas,four,sedan,fwd,front,100.4,0.8731379144641999,0.9236111111111112,0.9214046822742475,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,17,22,16.705882352941178,12.909090909090908,medium,0,1,1,0,0,0,0,1,0,13499
99,0,108,nissan,gas,four,wagon,fwd,front,100.4,0.8870735223450265,0.9236111111111112,0.9381270903010034,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,17,22,16.705882352941178,12.909090909090908,medium,0,1,1,0,0,0,0,0,1,14399
100,0,108,nissan,gas,four,sedan,fwd,front,100.4,0.8870735223450265,0.9236111111111112,0.9214046822742475,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,19,25,14.947368421052632,11.36,medium,0,1,1,0,0,0,0,1,0,13499
101,3,194,nissan,gas,two,hatchback,rwd,front,91.3,0.8202787121576165,0.9430555555555556,0.831103678929766,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,19,25,14.947368421052632,11.36,medium,0,1,1,0,0,0,1,0,0,17199
